INDEX: 10, TOTAL-TIME-USECS: 141678.0000, TOTAL_MEM_USE_MB: 9157, MEM_UTILIZATION: 0.894
INDEX: 11, TOTAL-TIME-USECS: 138997.0000, TOTAL_MEM_USE_MB: 9227, MEM_UTILIZATION: 0.887
INDEX: 12, TOTAL-TIME-USECS: 139523.0000, TOTAL_MEM_USE_MB: 9225, MEM_UTILIZATION: 0.888
INDEX: 13, TOTAL-TIME-USECS: 141405.0000, TOTAL_MEM_USE_MB: 9223, MEM_UTILIZATION: 0.888
INDEX: 14, TOTAL-TIME-USECS: 139338.0000, TOTAL_MEM_USE_MB: 9230, MEM_UTILIZATION: 0.887
INDEX: 15, TOTAL-TIME-USECS: 140596.0000, TOTAL_MEM_USE_MB: 9206, MEM_UTILIZATION: 0.889
INDEX: 16, TOTAL-TIME-USECS: 143176.0000, TOTAL_MEM_USE_MB: 9215, MEM_UTILIZATION: 0.889
INDEX: 17, TOTAL-TIME-USECS: 146623.0000, TOTAL_MEM_USE_MB: 9216, MEM_UTILIZATION: 0.888
INDEX: 18, TOTAL-TIME-USECS: 148233.0000, TOTAL_MEM_USE_MB: 9232, MEM_UTILIZATION: 0.887
INDEX: 19, TOTAL-TIME-USECS: 175261.0000, TOTAL_MEM_USE_MB: 9226, MEM_UTILIZATION: 0.888
INDEX: 20, TOTAL-TIME-USECS: 254085.0000, TOTAL_MEM_USE_MB: 9242, MEM_UTILIZATION: 0.887
INDEX: 21, TOTAL-TIME-USECS: 341325.0000, TOTAL_MEM_USE_MB: 9249, MEM_UTILIZATION: 0.887
INDEX: 22, TOTAL-TIME-USECS: 474168.0000, TOTAL_MEM_USE_MB: 9279, MEM_UTILIZATION: 0.886
INDEX: 23, TOTAL-TIME-USECS: 785849.0000, TOTAL_MEM_USE_MB: 9299, MEM_UTILIZATION: 0.887
INDEX: 24, TOTAL-TIME-USECS: 1166660.0000, TOTAL_MEM_USE_MB: 9361, MEM_UTILIZATION: 0.888
INDEX: 25, TOTAL-TIME-USECS: 1395408.0000, TOTAL_MEM_USE_MB: 9519, MEM_UTILIZATION: 0.887
INDEX: 26, TOTAL-TIME-USECS: 1513412.0000, TOTAL_MEM_USE_MB: 9722, MEM_UTILIZATION: 0.895
INDEX: 27, TOTAL-TIME-USECS: 1299476.0000, TOTAL_MEM_USE_MB: 11277, MEM_UTILIZATION: 0.817
INDEX: 28, TOTAL-TIME-USECS: 1249912.0000, TOTAL_MEM_USE_MB: 14368, MEM_UTILIZATION: 0.712
INDEX: 29, TOTAL-TIME-USECS: 2467751.0000, TOTAL_MEM_USE_MB: 20528, MEM_UTILIZATION: 0.598
INDEX: 30, TOTAL-TIME-USECS: 3868012.0000, TOTAL_MEM_USE_MB: 32845, MEM_UTILIZATION: 0.498
