INDEX: 10, TOTAL-TIME-USECS: 809094.0000, TOTAL_MEM_USE_MB: 16206, MEM_UTILIZATION: 0.505
INDEX: 11, TOTAL-TIME-USECS: 816493.0000, TOTAL_MEM_USE_MB: 16386, MEM_UTILIZATION: 0.499
INDEX: 12, TOTAL-TIME-USECS: 856329.0000, TOTAL_MEM_USE_MB: 16388, MEM_UTILIZATION: 0.499
INDEX: 13, TOTAL-TIME-USECS: 891190.0000, TOTAL_MEM_USE_MB: 16395, MEM_UTILIZATION: 0.499
INDEX: 14, TOTAL-TIME-USECS: 873164.0000, TOTAL_MEM_USE_MB: 16395, MEM_UTILIZATION: 0.499
INDEX: 15, TOTAL-TIME-USECS: 887312.0000, TOTAL_MEM_USE_MB: 16393, MEM_UTILIZATION: 0.499
INDEX: 16, TOTAL-TIME-USECS: 882427.0000, TOTAL_MEM_USE_MB: 16397, MEM_UTILIZATION: 0.499
INDEX: 17, TOTAL-TIME-USECS: 885740.0000, TOTAL_MEM_USE_MB: 16432, MEM_UTILIZATION: 0.498
INDEX: 18, TOTAL-TIME-USECS: 873989.0000, TOTAL_MEM_USE_MB: 16396, MEM_UTILIZATION: 0.499
INDEX: 19, TOTAL-TIME-USECS: 879715.0000, TOTAL_MEM_USE_MB: 16408, MEM_UTILIZATION: 0.499
INDEX: 20, TOTAL-TIME-USECS: 887835.0000, TOTAL_MEM_USE_MB: 16407, MEM_UTILIZATION: 0.499
INDEX: 21, TOTAL-TIME-USECS: 893182.0000, TOTAL_MEM_USE_MB: 16437, MEM_UTILIZATION: 0.499
INDEX: 22, TOTAL-TIME-USECS: 905850.0000, TOTAL_MEM_USE_MB: 16452, MEM_UTILIZATION: 0.499
INDEX: 23, TOTAL-TIME-USECS: 892970.0000, TOTAL_MEM_USE_MB: 16525, MEM_UTILIZATION: 0.499
INDEX: 24, TOTAL-TIME-USECS: 904466.0000, TOTAL_MEM_USE_MB: 16650, MEM_UTILIZATION: 0.499
INDEX: 25, TOTAL-TIME-USECS: 898613.0000, TOTAL_MEM_USE_MB: 16886, MEM_UTILIZATION: 0.500
INDEX: 26, TOTAL-TIME-USECS: 926315.0000, TOTAL_MEM_USE_MB: 17410, MEM_UTILIZATION: 0.499
INDEX: 27, TOTAL-TIME-USECS: 1004388.0000, TOTAL_MEM_USE_MB: 18478, MEM_UTILIZATION: 0.498
INDEX: 28, TOTAL-TIME-USECS: 1121761.0000, TOTAL_MEM_USE_MB: 20513, MEM_UTILIZATION: 0.499
INDEX: 29, TOTAL-TIME-USECS: 1829088.0000, TOTAL_MEM_USE_MB: 24537, MEM_UTILIZATION: 0.500
INDEX: 30, TOTAL-TIME-USECS: 3125242.0000, TOTAL_MEM_USE_MB: 32752, MEM_UTILIZATION: 0.500
