workload_id,benchmark,description,conflict,algorithm,query_model,best_order,normalized_cost,max_intermediate_rows,max_intermediate_mib,cache_crossings,skew_factor,heuristic_order,heuristic_cost,heuristic_slowdown
SSB-1,SSB,PART保留率高但事实表很大,维度过滤收益与事实表扫描成本冲突,Sort-Merge Join,materialized,LINEORDER -> PART -> DATE -> CUSTOMER -> SUPPLIER,2369.541,60000000,7324.22,4,1.0,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,3412.5661,1.44
SSB-1,SSB,PART保留率高但事实表很大,维度过滤收益与事实表扫描成本冲突,Partitioned Radix Hash Join,materialized,LINEORDER -> PART -> DATE -> CUSTOMER -> SUPPLIER,153.6611,60000000,7324.22,4,1.0,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,199.2771,1.297
SSB-1,SSB,PART保留率高但事实表很大,维度过滤收益与事实表扫描成本冲突,No-Partition Hash Join,row-pipeline,LINEORDER -> PART -> DATE -> CUSTOMER -> SUPPLIER,139.8252,60000000,7324.22,4,1.0,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,186.0954,1.331
SSB-1,SSB,PART保留率高但事实表很大,维度过滤收益与事实表扫描成本冲突,Vector Join,vectorized,LINEORDER -> PART -> DATE -> CUSTOMER -> SUPPLIER,77.0487,60000000,7324.22,4,1.0,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,98.4605,1.278
SSB-2,SSB,PART保留率低且事实表较小,强过滤是否仍值得优先于小事实表扫描,Sort-Merge Join,materialized,LINEORDER -> PART -> SUPPLIER -> CUSTOMER -> DATE,50.7677,2000000,244.14,2,1.0,LINEORDER -> DATE -> PART -> SUPPLIER -> CUSTOMER,69.0379,1.36
SSB-2,SSB,PART保留率低且事实表较小,强过滤是否仍值得优先于小事实表扫描,Partitioned Radix Hash Join,materialized,LINEORDER -> PART -> SUPPLIER -> CUSTOMER -> DATE,4.0684,2000000,244.14,2,1.0,LINEORDER -> DATE -> PART -> SUPPLIER -> CUSTOMER,5.2213,1.283
SSB-2,SSB,PART保留率低且事实表较小,强过滤是否仍值得优先于小事实表扫描,No-Partition Hash Join,row-pipeline,LINEORDER -> PART -> SUPPLIER -> CUSTOMER -> DATE,3.2338,2000000,244.14,2,1.0,LINEORDER -> DATE -> PART -> SUPPLIER -> CUSTOMER,4.061,1.256
SSB-2,SSB,PART保留率低且事实表较小,强过滤是否仍值得优先于小事实表扫描,Vector Join,vectorized,LINEORDER -> PART -> SUPPLIER -> CUSTOMER -> DATE,2.1922,2000000,244.14,2,1.0,LINEORDER -> DATE -> PART -> SUPPLIER -> CUSTOMER,2.7121,1.237
SSB-3,SSB,LINEORDER低于L3 cache边界,cache内负载下join order差异是否收敛,Sort-Merge Join,materialized,LINEORDER -> DATE -> PART -> SUPPLIER -> CUSTOMER,23.5973,700000,85.45,1,1.0,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,23.6955,1.004
SSB-3,SSB,LINEORDER低于L3 cache边界,cache内负载下join order差异是否收敛,Partitioned Radix Hash Join,materialized,LINEORDER -> DATE -> PART -> SUPPLIER -> CUSTOMER,1.8232,700000,85.45,1,1.0,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,1.8312,1.004
SSB-3,SSB,LINEORDER低于L3 cache边界,cache内负载下join order差异是否收敛,No-Partition Hash Join,row-pipeline,LINEORDER -> DATE -> PART -> SUPPLIER -> CUSTOMER,1.3849,700000,85.45,1,1.0,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,1.3898,1.004
SSB-3,SSB,LINEORDER低于L3 cache边界,cache内负载下join order差异是否收敛,Vector Join,vectorized,LINEORDER -> DATE -> PART -> SUPPLIER -> CUSTOMER,0.9807,700000,85.45,1,1.0,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,0.9843,1.004
SSB-4,SSB,LINEORDER显著超过L3 cache边界,cache外负载下早期缩减是否主导,Sort-Merge Join,materialized,LINEORDER -> DATE -> PART -> SUPPLIER -> CUSTOMER,2574.5518,120000000,14648.44,4,1.0,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,2609.1442,1.013
SSB-4,SSB,LINEORDER显著超过L3 cache边界,cache外负载下早期缩减是否主导,Partitioned Radix Hash Join,materialized,LINEORDER -> DATE -> PART -> SUPPLIER -> CUSTOMER,187.9274,120000000,14648.44,4,1.0,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,189.6467,1.009
SSB-4,SSB,LINEORDER显著超过L3 cache边界,cache外负载下早期缩减是否主导,No-Partition Hash Join,row-pipeline,LINEORDER -> DATE -> PART -> SUPPLIER -> CUSTOMER,173.3446,120000000,14648.44,4,1.0,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,174.9549,1.009
SSB-4,SSB,LINEORDER显著超过L3 cache边界,cache外负载下早期缩减是否主导,Vector Join,vectorized,LINEORDER -> DATE -> PART -> SUPPLIER -> CUSTOMER,101.4427,120000000,14648.44,4,1.0,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,102.2396,1.008
SSB-5,SSB,PART键分布倾斜,PRO/NPO面对skew时的partition/build端选择风险,Sort-Merge Join,materialized,LINEORDER -> PART -> DATE -> CUSTOMER -> SUPPLIER,591.375,30000000,3662.11,4,1.35,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,849.3792,1.436
SSB-5,SSB,PART键分布倾斜,PRO/NPO面对skew时的partition/build端选择风险,Partitioned Radix Hash Join,materialized,LINEORDER -> PART -> DATE -> CUSTOMER -> SUPPLIER,48.988,30000000,3662.11,4,1.35,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,62.2673,1.271
SSB-5,SSB,PART键分布倾斜,PRO/NPO面对skew时的partition/build端选择风险,No-Partition Hash Join,row-pipeline,LINEORDER -> PART -> DATE -> CUSTOMER -> SUPPLIER,42.7095,30000000,3662.11,4,1.35,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,54.9373,1.286
SSB-5,SSB,PART键分布倾斜,PRO/NPO面对skew时的partition/build端选择风险,Vector Join,vectorized,LINEORDER -> PART -> DATE -> CUSTOMER -> SUPPLIER,25.9072,30000000,3662.11,4,1.35,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,31.9529,1.233
SSB-6,SSB,PART与SUPPLIER过滤方向冲突,大维度强过滤与小维度弱过滤的优先级,Sort-Merge Join,materialized,LINEORDER -> PART -> CUSTOMER -> SUPPLIER -> DATE,1071.0716,60000000,7324.22,4,1.0,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,2489.5338,2.324
SSB-6,SSB,PART与SUPPLIER过滤方向冲突,大维度强过滤与小维度弱过滤的优先级,Partitioned Radix Hash Join,materialized,LINEORDER -> PART -> CUSTOMER -> SUPPLIER -> DATE,86.8672,60000000,7324.22,4,1.0,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,152.5888,1.757
SSB-6,SSB,PART与SUPPLIER过滤方向冲突,大维度强过滤与小维度弱过滤的优先级,No-Partition Hash Join,row-pipeline,LINEORDER -> PART -> CUSTOMER -> SUPPLIER -> DATE,77.8335,60000000,7324.22,4,1.0,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,141.9043,1.823
SSB-6,SSB,PART与SUPPLIER过滤方向冲突,大维度强过滤与小维度弱过滤的优先级,Vector Join,vectorized,LINEORDER -> PART -> CUSTOMER -> SUPPLIER -> DATE,47.2291,60000000,7324.22,4,1.0,LINEORDER -> DATE -> SUPPLIER -> PART -> CUSTOMER,77.8868,1.649
TPCH-1,TPC-H,链式增长型中间结果爆炸,早期小表join可能引发后续膨胀,Sort-Merge Join,materialized,PART -> LINEITEM -> ORDERS -> CUSTOMER,296.4119,13366080,1631.6,3,1.0,CUSTOMER -> ORDERS -> LINEITEM -> PART,363.3157,1.226
TPCH-1,TPC-H,链式增长型中间结果爆炸,早期小表join可能引发后续膨胀,Partitioned Radix Hash Join,materialized,PART -> LINEITEM -> ORDERS -> CUSTOMER,17.0499,13366080,1631.6,3,1.0,CUSTOMER -> ORDERS -> LINEITEM -> PART,19.7996,1.161
TPCH-1,TPC-H,链式增长型中间结果爆炸,早期小表join可能引发后续膨胀,No-Partition Hash Join,row-pipeline,PART -> LINEITEM -> ORDERS -> CUSTOMER,14.463,13366080,1631.6,3,1.0,CUSTOMER -> ORDERS -> LINEITEM -> PART,17.4117,1.204
TPCH-1,TPC-H,链式增长型中间结果爆炸,早期小表join可能引发后续膨胀,Vector Join,vectorized,PART -> LINEITEM -> ORDERS -> CUSTOMER,7.6252,13366080,1631.6,3,1.0,CUSTOMER -> ORDERS -> LINEITEM -> PART,8.948,1.173
