INDEX: 10, TOTAL_MEM_USE_MB: 16039, MEM_UTILIZATION: 0.510
INDEX: 11, TOTAL_MEM_USE_MB: 16401, MEM_UTILIZATION: 0.499
INDEX: 12, TOTAL_MEM_USE_MB: 16255, MEM_UTILIZATION: 0.503
INDEX: 13, TOTAL_MEM_USE_MB: 16384, MEM_UTILIZATION: 0.500
INDEX: 14, TOTAL_MEM_USE_MB: 16416, MEM_UTILIZATION: 0.499
INDEX: 15, TOTAL_MEM_USE_MB: 16264, MEM_UTILIZATION: 0.503
INDEX: 16, TOTAL_MEM_USE_MB: 16404, MEM_UTILIZATION: 0.499
INDEX: 17, TOTAL_MEM_USE_MB: 16058, MEM_UTILIZATION: 0.510
INDEX: 18, TOTAL_MEM_USE_MB: 16077, MEM_UTILIZATION: 0.509
INDEX: 19, TOTAL_MEM_USE_MB: 16162, MEM_UTILIZATION: 0.507
INDEX: 20, TOTAL_MEM_USE_MB: 16412, MEM_UTILIZATION: 0.499
INDEX: 21, TOTAL_MEM_USE_MB: 16215, MEM_UTILIZATION: 0.506
INDEX: 22, TOTAL_MEM_USE_MB: 16084, MEM_UTILIZATION: 0.511
INDEX: 23, TOTAL_MEM_USE_MB: 16523, MEM_UTILIZATION: 0.499
INDEX: 24, TOTAL_MEM_USE_MB: 16657, MEM_UTILIZATION: 0.499
INDEX: 25, TOTAL_MEM_USE_MB: 16608, MEM_UTILIZATION: 0.508
INDEX: 26, TOTAL_MEM_USE_MB: 17434, MEM_UTILIZATION: 0.499
INDEX: 27, TOTAL_MEM_USE_MB: 18438, MEM_UTILIZATION: 0.499
INDEX: 28, TOTAL_MEM_USE_MB: 20491, MEM_UTILIZATION: 0.499
INDEX: 29, TOTAL_MEM_USE_MB: 24348, MEM_UTILIZATION: 0.504
INDEX: 30, TOTAL_MEM_USE_MB: 32807, MEM_UTILIZATION: 0.499
