INDEX: 10, TOTAL-TIME-USECS: 3277130.0000, TOTAL_MEM_USE_MB: 32852, MEM_UTILIZATION: 0.249
INDEX: 11, TOTAL-TIME-USECS: 3294642.0000, TOTAL_MEM_USE_MB: 32532, MEM_UTILIZATION: 0.251
INDEX: 12, TOTAL-TIME-USECS: 3265338.0000, TOTAL_MEM_USE_MB: 32922, MEM_UTILIZATION: 0.248
INDEX: 13, TOTAL-TIME-USECS: 3351616.0000, TOTAL_MEM_USE_MB: 33183, MEM_UTILIZATION: 0.246
INDEX: 14, TOTAL-TIME-USECS: 3297828.0000, TOTAL_MEM_USE_MB: 33108, MEM_UTILIZATION: 0.247
INDEX: 15, TOTAL-TIME-USECS: 3275042.0000, TOTAL_MEM_USE_MB: 32783, MEM_UTILIZATION: 0.249
INDEX: 16, TOTAL-TIME-USECS: 3272582.0000, TOTAL_MEM_USE_MB: 32789, MEM_UTILIZATION: 0.249
INDEX: 17, TOTAL-TIME-USECS: 3292264.0000, TOTAL_MEM_USE_MB: 32751, MEM_UTILIZATION: 0.250
INDEX: 18, TOTAL-TIME-USECS: 3276589.0000, TOTAL_MEM_USE_MB: 32686, MEM_UTILIZATION: 0.250
INDEX: 19, TOTAL-TIME-USECS: 3268813.0000, TOTAL_MEM_USE_MB: 32736, MEM_UTILIZATION: 0.250
INDEX: 20, TOTAL-TIME-USECS: 3293623.0000, TOTAL_MEM_USE_MB: 32717, MEM_UTILIZATION: 0.250
INDEX: 21, TOTAL-TIME-USECS: 3255881.0000, TOTAL_MEM_USE_MB: 32760, MEM_UTILIZATION: 0.250
INDEX: 22, TOTAL-TIME-USECS: 3274246.0000, TOTAL_MEM_USE_MB: 32909, MEM_UTILIZATION: 0.249
INDEX: 23, TOTAL-TIME-USECS: 3276214.0000, TOTAL_MEM_USE_MB: 32961, MEM_UTILIZATION: 0.250
INDEX: 24, TOTAL-TIME-USECS: 3299948.0000, TOTAL_MEM_USE_MB: 33186, MEM_UTILIZATION: 0.250
INDEX: 25, TOTAL-TIME-USECS: 3397988.0000, TOTAL_MEM_USE_MB: 33513, MEM_UTILIZATION: 0.252
INDEX: 26, TOTAL-TIME-USECS: 3602962.0000, TOTAL_MEM_USE_MB: 34225, MEM_UTILIZATION: 0.254
INDEX: 27, TOTAL-TIME-USECS: 3900029.0000, TOTAL_MEM_USE_MB: 35522, MEM_UTILIZATION: 0.259
INDEX: 28, TOTAL-TIME-USECS: 4385609.0000, TOTAL_MEM_USE_MB: 38319, MEM_UTILIZATION: 0.267
INDEX: 29, TOTAL-TIME-USECS: 5764700.0000, TOTAL_MEM_USE_MB: 44503, MEM_UTILIZATION: 0.276
INDEX: 30, TOTAL-TIME-USECS: 8121421.0000, TOTAL_MEM_USE_MB: 57167, MEM_UTILIZATION: 0.286
